circRNA,disease,miRNA
hsa_circ_000684,Pancreatic cancer,unknown
hsa_circ_0054722,Nonfunctioning pituitary adenomas,unknown
hsa_circRNA_102736,Osteosarcoma,unknown
hsa_circ_0001017/hsa_circ_002020,Gastric cancer,unknown
circ_CCT4,Temporal Lobe Epilepsy,unknown
hsa_circ_0005552,Bladder cancer,unknown
hsa_circ_0054971,Gastric cancer,unknown
hsa_circ_0001022,Renal cell carcinoma,unknown
hsa_circ_0008529,Diabetic nephropathy,unknown
hsa_circ_0008529,Systemic lupus erythematosus,unknown
hsa_circ_0120816,Esophageal cancer,unknown
2_72718102_72733118_-,Hypertrophic scar,unknown
hsa_circ_0009043,Ovarian cancer,unknown
hsa_circ_0009043,Endometrial cancer,unknown
hsa_circ_0006251,Coronary heart disease,unknown
hsa_circ_0055377,Thoracic aortic dissection,unknown
hsa_circ_0055408,Renal cell carcinoma,unknown
hsa_circ_0001038,Cervical cancer,unknown
hsa_circ_0055538,Oral squamous cell carcinoma,unknown
hsa_circ_0007334,Colorectal cancer,unknown
hsa_circ_0007334,Prostate cancer,unknown
hsa_circ_0007334,Pancreatic cancer,unknown
hsa_circ_0005085/hsa_circRNA_102612,Basal cell carcinoma,unknown
hsa_circ_0002362,Pulmonary tuberculosis,unknown
hsa_circ_0008768,Gastric cancer,unknown
hsa_circ_0055625,Colon cancer,unknown
hsa_circ_0055724,Preeclampsia,unknown
hsa_circ_0059655,Salivary adenoid cystic carcinoma,unknown
hsa_circ_0059665,Acute pancreatitis,unknown
hsa_circ_0004812,Chronic hepatitis B,unknown
circMIR663A,Prostate cancer,unknown
hsa_circ_0006117,Bladder cancer,unknown
hsa_circ_0006117,Non-small cell lung cancer,unknown
hsa_circ_0001135,Breast cancer,"miR-135b-3p, miR-298, miR-485-3p, miR-182-5p, miR-593-5p"
chr20:31876585–31897648,Laryngeal cancer,unknown
hsa_circ_0008532,Bladder cancer,unknown
circ_ITCH,Bladder cancer,unknown
circ_ITCH,Cervical cancer,unknown
circ_ITCH,Colorectal cancer,unknown
circ_ITCH,Doxorubicin-Induced cardiotoxicity,unknown
circ_ITCH,Esophageal cancer,unknown
circ_ITCH,Gastric cancer,unknown
circ_ITCH,Lung cancer,unknown
circ_ITCH,Melanoma,unknown
circ_ITCH,Ovarian cancer,unknown
circ_ITCH,Papillary thyroid carcinoma,unknown
circ_ITCH,Prostate cancer,unknown
circ_ITCH,Triple negative breast cancer,unknown
hsa_circ_0059961,Hepatocellular carcinoma,unknown
hsa_circRNA_402565,Ventricular septal defect,unknown
hsa_circ_0060055,Pancreatic cancer,unknown
hsa_circ_0060060,Papillary thyroid carcinoma,unknown
hsa_circ_0060063,Abdominal aortic aneurysm,unknown
hsa_circ_0060108,Gastric cancer,unknown
hsa_circ_0004870,Prostate cancer,unknown
hsa_circRNA_103047,Rheumatoid arthritis,unknown
hsa_circ_0060180,Parkinson's disease,unknown
hsa_circ_0006873,Osteoporosis,unknown
hsa_circ_0060428,Osteosarcoma,unknown
hsa_circ_0060450,Type 1 diabetes mellitus,unknown
hsa_circ_0006332,Acute myeloid leukemia,unknown
hsa_circ_0060467,Cervical cancer,unknown
hsa_circ_0001162,Glioblastoma,miR-124
hsa_circ_0001162,Oral squamous cell carcinoma,unknown
hsa_circ_0001165,Prostate cancer,unknown
hsa_circ_0003998,Hepatocellular carcinoma,unknown
hsa_circ_0003998,Non-small cell lung cancer,unknown
hsa_circ_0059354,Laryngeal cancer,unknown
hsa_circ_0059354,Papillary thyroid carcinoma,unknown
circRNANCOA3,PDLSC osteogenis,unknown
hsa_circ_0060745,Colorectal cancer,unknown
hsa_circ_0008675,Systemic lupus erythematosus,unknown
hsa_circ_0002168,Breast cancer,unknown
hsa_circ_0060927,Colorectal cancer,unknown
hsa_circ_0060927,Uterine leiomyoma,unknown
hsa_circ_0004887,Colorectal cancer,unknown
hsa_circ_0061012,Psoriasis,"hsa-miR-7157-5p, hsa-miR-4769-3p, hsa-miR-6817-5p, hsa-miR-4310, hsa-miR-6882-3p"
hsa_circ_0003456,Prostate cancer,unknown
hsa_circ_0061052,Chronic obstructive pulmonary disease,unknown
circSLCO4A1,Prostate cancer,unknown
hsa_circRNA_103102,Schizophrenia,unknown
hsa_circ_0061140,Endometriosis,unknown
hsa_circ_0061140,Bladder cancer,unknown
hsa_circ_0061140,Ovarian cancer,unknown
hsa_circ_0001175,Breast cancer,unknown
hsa_circ_0001175,Hepatocellular carcinoma,unknown
hsa_circ_0007609,Multiple myeloma,unknown
hsa_circ_0061259,Prostate cancer,unknown
hsa_circ_0061265,Bladder cancer,unknown
hsa_circ_0061265,Gastric cancer,unknown
hsa_circ_0001177,Acute kidney injury,unknown
hsa_circ_0002711,Ovarian cancer,unknown
hsa_circ_0004771,Gastric cancer,"miR-4298, miR-339-5p, miR-4687-3p, miR-548"
hsa_circ_0004771,Cervical cancer,unknown
hsa_circ_0004771,Breast cancer,"hsa-miR-653-5p, hsa-miR-339-5p, hsa-miR-330-5p, hsa-miR-595, hsa-miR-629-3p"
hsa_circ_0004771,Papillary thyroid carcinoma,"hsa-miR-653-5p, hsa-miR-339-5p, hsa-miR-330-5p, hsa-miR-595, hsa-miR-629-3p"
hsa_circ_0004771,Osteosarcoma,unknown
hsa_circ_0004771,Colorectal cancer,unknown
hsa_circ_0004771,Esophageal cancer,unknown
hsa_circ_0004771,Hepatocellular carcinoma,unknown
hsa_circ_103047,Rheumatoid arthritis,"miR-7, miR-214"
hsa_circ_0061276,Gastric cancer,unknown
hsa_circ_0001178,Hepatocellular carcinoma,unknown
hsa_circ_0001178,Colorectal cancer,unknown
hsa_circ_0007556,Alzheimer's disease,unknown
hsa_circ_0061351,Proliferative vitreoretinopathy,unknown
hsa_circ_0115744,Colorectal cancer,unknown
hsa_circ_0061395,Hepatocellular carcinoma,unknown
hsa_circ_0002113,Breast cancer,unknown
hsa_circ_0002113,Pulmonary tuberculosis,unknown
hsa_circ_000911,Breast cancer,unknown
hsa_circ_0004339,Gastric cancer,miR-802
hsa_circ_0002360,Colorectal cancer,unknown
hsa_circ_0002360,Lung cancer,unknown
hsa_circ_0001187/hsa_circ_000341/hsa_circ_0008078,Acute myeloid leukemia,unknown
hsa_circ_0001187/hsa_circ_000341/hsa_circ_0008078,Cervical cancer,unknown
hsa_circ_0001189/hsa_circ_001502,Hypopharyngeal carcinoma,"miR-136, miR-217, miR-636, miR-646, miR-665, MMP13"
hsa_circ_0061656,Pressure ulcer,unknown
hsa_circ_0061656,Kidney injury,unknown
hsa_circ_0001190,Gastric cancer,unknown
hsa_circ_0001192,Renal cell carcinoma,unknown
hsa_circ_0116061,Osteoarthritis,unknown
hsa_circ_0061817,Non-obstructive azoospermia,unknown
hsa_circ_0061825,Breast cancer,unknown
hsa_circ_12884,Polycystic ovary syndrome,unknown
hsa_circ_0061853,Intervertebral disc degeneration,unknown
hsa_circ_0061868,Glioblastoma,unknown
hsa_circ_0061893,Radiation-induced liver fibrosis,unknown
hsa_circ_0092315,Papillary thyroid carcinoma,"hsa-miR-658, hsa-miR-494-3p, hsa-miR-675-5p, hsa-miR-604, hsa-miR-361-3p"
hsa_circ_0001200,Rheumatoid arthritis,unknown
hsa_circ_0062019,Prostate cancer,unknown
hsa_circ_0002715,Rheumatoid arthritis,unknown
hsa_circ_0062163,Hepatoblastoma,unknown
hsa_circ_0008533,Non-obstructive azoospermia,unknown
hsa_circ_0062222,Nonfunctioning pituitary adenomas,unknown
hsa_circ_0062270,Glioblastoma,unknown
hsa_circ_0062270,Melanoma,unknown
hsa_circ_0001204/hsa_circ_001409,Postmenopausal osteoporosis,unknown
hsa_circ_0001204/hsa_circ_001409,Tuberculosis,"miR-612, miR-657, miR-362-3p, miR-377-3p, miR-136-5p"
hsa_circ_0092314,Pancreatic cancer,unknown
hsa_circ_0062321,Oral mucosal melanoma,unknown
hsa_circ_0062389,Non-small cell lung cancer,unknown
hsa_circ_05707,Glioblastoma,unknown
hsa_circ_05707,Prostate cancer,"miR-1285-5p, miR-141"
hsa_circ_0062426,Atrial fibrillation,unknown
hsa_circ_0004872,Atherosclerosis,unknown
hsa_circ_0004872,Gastric cancer,unknown
hsa_circ_0004872,Glioblastoma,unknown
hsa_circ_0062459,Esophageal cancer,unknown
hsa_circ_0062491,Periodontitis,unknown
hsa_circ_0001212/hsa_circ_001886,Cervical cancer,unknown
hsa_circ_0062557,Ovarian endometriosis,unknown
hsa_circ_0062558,Breast cancer,unknown
hsa_circ_0062558,Uterine leiomyoma,unknown
hsa_circ_0062582,Osteoporosis,unknown
hsa_circ_0005622,Parathyroid adenoma,unknown
hsa_circ_0003056,Primary hepatic carcinoma,unknown
hsa_circ_0062705,Colon cancer,unknown
chr22:28943661-28946139,Bladder cancer,unknown
hsa_circ_0004811,Hypopharyngeal carcinoma,unknown
hsa_circ_0062960,Heart failure,unknown
hsa_circ_0062982,Chronic myeloid leukemia,unknown
hsa_circ_0008832,Gastric cancer,miR-1271
hsa_circ_0008832,Laryngeal cancer,unknown
hsa_circ_0063179,Pulmonary tuberculosis,unknown
hsa_circ_0005243,Gestational diabetes mellitus,unknown
hsa_circ_0002211,Colorectal cancer,hsa-miR-21-5p
hsa_circ_0002211,Prostate cancer,unknown
hsa_circ_0063411,Amyotrophic lateral sclerosis,unknown
hsa_circ_0008360,Rheumatoid arthritis,unknown
hsa_circ_0063517,Preeclampsia,unknown
hsa_circ_0063526,Gastric cancer,unknown
hsa_circ_0063561,Gastric cancer,unknown
hsa_circ_0005703,Hypopharyngeal carcinoma,unknown
hsa_circ_0001240,Atrial fibrillation,unknown
hsa_circ_0116692,Retinoblastoma,unknown
hsa_circ_0063772,Oral squamous cell carcinoma,unknown
hsa_circ_0001247,Cervical cancer,unknown
hsa_circ_0063781,Facet joint osteoarthritis,unknown
hsa_circ_0063809,Gastric cancer,unknown
hsa_circ_0063809,Ovarian cancer,unknown
hsa_circ_0001250,Pancreatic cancer,unknown
hsa_circ_0001255,Non-small cell lung cancer,unknown
hsa_circ_0001259/hsa_circ_001509,Breast cancer,unknown
hsa_circRNA_103477,Gastric cancer,unknown
hsa_circ_0066659,Hepatocellular carcinoma,unknown
hsa_circ_0066755,Nasopharyngeal carcinoma,unknown
hsa_circ_0066779,Gastric cancer,unknown
hsa_circ_0001326,Preeclampsia,unknown
hsa_circ_0066875,Colorectal cancer,unknown
hsa_circ_0008394,Gastric cancer,unknown
hsa_circ_0003763,Hepatocellular carcinoma,unknown
hsa_circ_0008797,Pulmonary tuberculosis,unknown
hsa_circ_0066922,Diabetes retinopathy,"miR-129-5p, NOTCH1"
hsa_circ_29892,Glioblastoma,unknown
hsa_circ_29892,Small cell lung cancer,unknown
hsa_circ_0141940,Non-small cell lung cancer,unknown
hsa_circ_0141940,Prostate cancer,unknown
hsa_circ_0002768,Bladder cancer,"miRNA-29a-3p, DNMT3B, VEGFA, ITGB1"
hsa_circ_0002768,Hepatocellular carcinoma,unknown
hsa_circ_0002768,Laryngocarcinoma,unknown
hsa_circ_0002768,Renal cell carcinoma,unknown
hsa_circ_0067103,Papillary thyroid carcinoma,"hsa-miR-591, hsa-miR-7-5p, hsa-miR-660-5p, hsa-miR-144-5p, hsa-miR-452-3p"
hsa_circ_26591,Glioblastoma,unknown
hsa_circ_0067127,Primary hepatic carcinoma,unknown
hsa_circ_0067175,Thoracic aortic dissection,unknown
hsa_circ_0008045,Non-obstructive azoospermia,unknown
hsa_circ_0007841,Multiple myeloma,unknown
hsa_circ_0067209,Moyamoya disease,unknown
hsa_circ_0001336,Esophageal cancer,unknown
hsa_circ_0067301,Ovarian endometriosis,miR-141-5p
hsa_circ_0067301,Acute pancreatitis,unknown
hsa_circ_0067301,Endometriosis,unknown
hsa_circ_0005875,Clear cell renal cell carcinoma,unknown
hsa_circ_0067512,Lung cancer,unknown
hsa_circ_0067531,Hepatocellular carcinoma,unknown
hsa_circ_0067531,Oral mucosal melanoma,miR-328-5p
hsa_circ_0067582,Gastric cancer,unknown
hsa_circ_0064428,Hepatocellular carcinoma,unknown
hsa_circ_0122319,Colon cancer,unknown
circRNAPLOD2,PDLSC osteogenis,unknown
hsa_circ_0001346,Lung cancer,unknown
hsa_circ_0006801,Postmenopausal Osteoporosis,unknown
hsa_circ_0064451,Colon cancer,unknown
hsa_circ_15226,Glioblastoma,unknown
hsa_circ_15226,Hepatocellular carcinoma,unknown
hsa_circ_0067745,Hepatoblastoma,unknown
hsa_circ_0067835,Endometrial carcinoma,unknown
hsa_circ_0067835,Colorectal cancer,unknown
hsa_circ_0067835,Temporal lobe epilepsy,unknown
hsa_circ_0004264,Atherosclerosis,unknown
hsa_circ_0001273,Myocardial infarction,unknown
hsa_circ_0008433,Ischemic stroke,unknown
hsa_circ_0122683,Papillary thyroid carcinoma,unknown
hsa_circ_0067934,Cervical cancer,unknown
hsa_circ_0067934,Esophageal cancer,unknown
hsa_circ_0067934,Gastric cancer,unknown
hsa_circ_0067934,Hepatocellular carcinoma,unknown
hsa_circ_0067934,Neuronal cell injury,unknown
hsa_circ_0067934,Non-small cell lung cancer,unknown
hsa_circ_0067934,Thyroid carcinoma,unknown
hsa_circ_0067934,Bladder cancer,unknown
hsa_circ_0067934,Breast cancer,unknown
hsa_circ_0067934,Cervical cancer,unknown
hsa_circ_0067934,Glioblastoma,unknown
hsa_circ_0067934,Laryngeal cancer,unknown
hsa_circ_0067934,Non-small cell lung cancer,unknown
hsa_circ_0067934,Thyroid cancer,unknown
circ_PRKCI,Hepatocellular carcinoma,unknown
circRNASKIL,PDLSC osteogenis,unknown
hsa_circ_0001275/hsa_circ_000361,Postmenopausal Osteoporosis,unknown
hsa_circ_0001361,Bladder cancer,unknown
hsa_circ_0006948,Esophageal cancer,unknown
hsa_circ_0067997,Gastric cancer,unknown
hsa_circ_0006156,Papillary thyroid carcinoma,miR-1178
hsa_circ_0006156,Bladder cancer,"miR-1178-3p, miR-636"
hsa_circ_0006156,Gastric cancer,unknown
hsa_circRNA_103516,Inflammatory bowel disease,unknown
circRNA3046,Herpes Simplex Virus1 Infection,unknown
hsa_circ_0068033,Breast cancer,unknown
hsa_circ_0068087/CircSLC8A1-1,Type2 diabetes mellitus,unknown
hsa_circ_0001368,Gastric cancer,miR-6506-5p
hsa_circ_0001368,Pituitary adenoma,unknown
hsa_circ_0001368,Renal cell carcinoma,unknown
hsa_circ_0006667,Proliferative diabetic retinopathy,unknown
hsa_circ_0001370/hsa_circ_001830,Basal cell carcinoma,unknown
hsa_circ_0064557,Papillary thyroid carcinoma,"hsa-miR-1264, hsa-miR-490-3p, hsa-miR-619-3p, hsa-miR-23a-3p, hsa-miR-23b-3p"
hsa_circ_0068367,Systemic lupus erythematosus,unknown
hsa_circ_0068458,Osteosarcoma,unknown
hsa_circ_0068459,Osteoporosis,unknown
hsa_circ_0068481,Idiopathic pulmonary arterial hypertension,unknown
hsa_circ_0068489,Diabetes retinopathy,unknown
hsa_circ_0068515,Breast cancer,unknown
hsa_circ_0068515,Lung cancer,unknown
hsa_circ_0068515,Hepatocellular carcinoma,unknown
hsa_circ_0007331,Colon cancer,unknown
hsa_circ_0008267,Parathyroid adenoma,unknown
hsa_circ_0123190,Lupus nephritis,unknown
hsa_circ_0068610,Bladder cancer,unknown
hsa_circ_0068610,Gastric cancer,unknown
hsa_circ_0005051,Gastric cancer,unknown
hsa_circ_0001380,Bladder cancer,unknown
hsa_circ_0001380,Pulmonary tuberculosis,unknown
hsa_circ_0068655,Myocardial infarction,unknown
hsa_circ_0068669,Hepatocellular carcinoma,unknown
hsa_circ_0007203,Esophageal cancer,"miR-515, miR-942, miR-589, miR-136, miR-620, miR-630"
hsa_circ_0008583,Hepatocellular carcinoma,unknown
hsa_circ_0064574,Chronic lymphocytic leukemia,unknown
hsa_circ_0064574,Gastric cancer,unknown
hsa_circ_0006215,Pancreatic cancer,unknown
hsa_circ_0005224,Nasopharyngeal carcinoma,unknown
hsa_circ_0008549,Gastric cancer,unknown
hsa_circ_0123629,Hepatocellular carcinoma,unknown
hsa_circ_0064840,Pterygium,unknown
hsa_circ_0001283/hsa_circ_000939,Breast cancer,"miR-30e-5p, miR-647, miR-92a-1-5p, miR-660-3p, miR-626"
hsa_circ_0064923,Breast cancer,unknown
hsa_circ_0064996,Basal cell carcinoma,unknown
hsa_circ_0064996,Rheumatoid arthritis,unknown
hsa_circ_0005870,Hypertension,"hsa-miR-6807-3p, hsa-miR-5095, hsa-miR-1273g-3p, hsa-miR-5096, hsa-miR-619-5p"
hsa_circ_0004692,Steroid-induced osteonecrosis of the femoral head,unknown
hsa_circ_0065149,Gastric cancer,unknown
hsa_circ_0002569,Moyamoya disease,unknown
hsa_circ_0065214,Hepatocellular carcinoma,unknown
hsa_circRNA_007878,Ventricular septal defect,unknown
hsa_circ_0002023,Non-obstructive azoospermia,unknown
hsa_circ_0123996,Kawasaki disease,unknown
hsa_circ_0065404,Laryngeal cancer,unknown
hsa_circ_0005046,Breast cancer,"hsa-miR-653-5p, hsa-miR-339-5p, hsa-miR-330-5p, hsa-miR-595, hsa-miR-629-3p"
hsa_circ_0005046,Osteosarcoma,unknown
hsa_circ_0092276,Breast cancer,unknown
hsa_circ_0066077,Hepatoblastoma,unknown
hsa_circ_0002801,Chronic hepatitis B,unknown
hsa_circ_0066135,Uterine leiomyoma,unknown
hsa_circ_0001312,Heart failure,unknown
hsa_circ_0001312,Hypopharyngeal carcinoma,unknown
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Non-small cell lung cancer,unknown
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Breast cancer,unknown
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Cervical cancer,unknown
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Colorectal cancer,unknown
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Gastric cancer,unknown
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Hirschsprung disease,unknown
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Osteosarcoma,unknown
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Pancreatic cancer,unknown
hsa_circ_0066444,Gastric cancer,"miR-1282, miR-1243, miR-1178, miR-638, miR-451"
hsa_circ_0003266,Acute kidney injury,miR-126-5p
hsa_circ_0066529,Coronary heart disease,unknown
hsa_circ_0001320,Lung cancer,unknown
hsa_circ_0008234,Gallbladder cancer,unknown
hsa_circ_0008234,Lung cancer,unknown
hsa_circ_0018955,Age-related cataract,unknown
chr3:72958113-72960367,Intestinal injury and repair,unknown
hsa_circ_0124644,Coronary artery disease,unknown
hsa_circ_0001264,Acute myeloid leukemia,unknown
hsa_circ_0002453,Triple negative breast cancer,unknown
hsa_circ_0002453,Systemic lupus erythematosus,unknown
chr3:96041338-96042928,Intestinal injury and repair,unknown
chr4:103501692-103504114,Glioblastoma,unknown
hsa_circ_0006935,Repeated implantation failure,hsa-miR-574-5p
hsa_circ_0070616,Repeated implantation failure,hsa-miR-574-5p
hsa_circ_0005654,Gastric cancer,unknown
hsa_circ_0005654,Postmenopausal osteoporosis,unknown
hsa_circ_0001386,Clear cell renal cell carcinoma,unknown
hsa_circ_0001438,Preeclampsia,unknown
hsa_circ_0004771,Cutaneous squamous cell carcinoma,"miR-1238, miR-1247-5p, miR-1236-3p"
hsa_circ_0001439,Lung cancer,unknown
hsa_circ_0070963,Radiation-induced liver fibrosis,unknown
hsa_circ_0125357,Pneumonia,unknown
hsa_circ_0071036,Pancreatic cancer,unknown
hsa_circ_0001445,Non-small cell lung cancer,unknown
hsa_circ_0001445,Cervical cancer,"miR-620, miR-432"
hsa_circ_0001445,Osteoporosis,unknown
cTtns,Dilated cardiomyopathy,unknown
Titin_circRNAs/cTtns/RBM20-dependent_TTN_circRNAs,Dilated cardiomyopathy,unknown
hsa_circ_0001445,Glioblastoma,unknown
hsa_circ_0001445,Hepatocellular carcinoma,unknown
hsa_circ_0001445,Intrahepatic cholangiocarcinoma,unknown
hsa_circ_0001445,Laryngeal cancer,unknown
hsa_circ_0001445,Prostate cancer,unknown
chr4:147227078-147230127,Ovarian cancer,unknown
hsa_circ_0008975,Non-small cell lung cancer,unknown
hsa_circ_0001449,Cerebral ischemia,unknown
hsa_circ_0071127,Breast cancer,unknown
hsa_circ_0005480,Keloid,unknown
hsa_circ_0006867,Non-small cell lung cancer,unknown
hsa_circ_001988/hsa_circ_0001451,Colorectal cancer,unknown
hsa_circ_001988/hsa_circ_0001451,Triple negative breast cancer,unknown
hsa_circ_0125597,Breast cancer,unknown
hsa_circ_0069234,Intervertebral disc degeneration,"miR-7703, miR-6776-5p, miR-6861-5p, miR-1298-3p, miR-514a-5p"
hsa_circ_0007121,Preeclampsia,unknown
hsa_circ_0008003,Non-small cell lung cancer,unknown
hsa_circ_0071375,Multiple myeloma,unknown
hsa_circ_0071410,Radiation-induced liver fibrosis,unknown
hsa_circ_0068871,Bladder cancer,unknown
hsa_circRNA_103781,Gastric cancer,unknown
hsa_circ_0071542,Myocarditis,unknown
hsa_circ_0071589,Colorectal cancer,unknown
hsa_circ_0001461,Colon cancer,unknown
hsa_circ_0001461,Gastric cancer,unknown
hsa_circ_0001461,Osteosarcoma,unknown
hsa_circ_0001461,Cervical cancer,unknown
hsa_circ_0068888,Acute kidney injury,unknown
hsa_circ_0008460,Colorectal cancer,unknown
hsa_circ_0001387,Ovarian cancer,unknown
hsa_circ_0008507,Coronary heart disease,unknown
hsa_circ_0068942,Coronary artery disease,unknown
hsa_circ_0069399,Cervical cancer,unknown
hsa_circ_0002194,Inflammatory response,unknown
hsa_circ_0001400,Multiple sclerosis,unknown
hsa_circ_0069565,Age-related cataract,unknown
hsa-circRNA5974-1,Gastric cancer,unknown
hsa_circ_0005963,Colorectal cancer,unknown
hsa_circ_0007928,Lung cancer,unknown
hsa_circ_0007928,Cervical cancer,unknown
hsa_circ_0069718,Triple negative breast cancer,unknown
hsa_circ_0001410,Major depressive disorder,"miR-134, cyclinD1"
hsa_circ_0005912/hsa_circRNA_103643,Bladder cancer,unknown
hsa_circ_0005912/hsa_circRNA_103643,Basal cell carcinoma,unknown
hsa_circ_0069765,Gastrointestinal stromal tumour,unknown
hsa_circ_0069767,Multiple myeloma,unknown
hsa_circ_0126678,Lung cancer,unknown
hsa_circ_0069094,Breast cancer,unknown
hsa_circ_0001394,Hepatocellular carcinoma,unknown
hsa_circ_0126897,Colorectal cancer,unknown
hsa_circ_0001417/hsa_circ_001160,Glioblastoma,unknown
hsa_circ_0001417/hsa_circ_001160,Tuberculosis,unknown
hsa_circ_0069131,Gastric cancer,unknown
hsa_circ_0126991,Essential hypertension,unknown
hsa_circ_0006168,Esophageal cancer,unknown
hsa_circ_0001421,Non-small cell lung cancer,unknown
hsa_circ_0070269,Hepatocellular carcinoma,unknown
hsa_circ_0070382,Abdominal aortic aneurysm,unknown
hsa_circ_0127245,Hepatocellular carcinoma,unknown
hsa_circ_0070401,Oral squamous cell carcinoma,unknown
hsa_circ_0004050,Non-small cell lung cancer,unknown
hsa_circRNA_103704,Schizophrenia,unknown
hsa_circRNA_103809,Hepatocellular carcinoma,unknown
hsa_circRNA_001430,Nasopharyngeal carcinoma,unknown
hsa_circ_0001467,Glioblastoma,unknown
hsa_circ_0127621,Diffuse large B-cell lymphoma,unknown
hsa_circ_22824,Glioblastoma,"hsa-miR-412-3p, hsa-miR-363-5p, hsa-miR-608, hsa-miR-564, hsa-miR-196b-3p"
circKCNN2,Prostate cancer,unknown
hsa_circ_0001522,Lung cancer,unknown
hsa_circ_0005949,Colorectal cancer,unknown
hsa_circ_0127801,Colorectal cancer,unknown
hsa_circ_0127859,Gastric cancer,unknown
hsa_circ_0005105,Osteoarthritis,miR-26a
hsa_circ_0003528,Cutaneous squamous cell carcinoma,unknown
hsa_circ_0003528,Hepatocellular carcinoma,unknown
hsa_circ_0003528,Tuberculosis,unknown
hsa_circ_0074026,Glioblastoma,unknown
hsa_circ_0074026,Breast cancer,unknown
hsa_circ_0074027,Non-small cell lung cancer,unknown
hsa_circ_0074027,Glioblastoma,unknown
hsa_circ_0074027,Colorectal cancer,unknown
chr5:134491893-134500149,Intestinal injury and repair,unknown
hsa_circ_0074033,Colorectal cancer,unknown
hsa_circ_0074039,Colorectal cancer,unknown
circRNA5669,Esophageal cancer,unknown
hsa_circ_0007930,Age-related cataract,unknown
hsa_circ_0001535,Ovarian cancer,unknown
hsa_circ_0001535,Hepatocellular carcinoma,unknown
hsa_circ_0074169,Colon cancer,unknown
hsa_circ_0008922,Type 2 diabetes mellitus,unknown
hsa_circ_0005728,Breast cancer,unknown
hsa_circ_0006716,Periventricular white matter damage,unknown
hsa_circ_001959/hsa_circRNA_001959,Gastric cancer,unknown
hsa_circ_0074362,Gastric cancer,unknown
hsa_circ_0074362,Glioblastoma,unknown
hsa_circ_0001543,Bladder cancer,unknown
hsa_circ_0071896,Facet joint osteoarthritis,unknown
circ_ARHGAP26,Gastric cancer,unknown
hsa_circ_0006528,Breast cancer,unknown
hsa_circ_0128298,Hepatocellular carcinoma,unknown
hsa_circ_0128332,Lung cancer,unknown
hsa_circ_0007551,Breast cancer,unknown
hsa_circ_0004104,Coronary artery disease,unknown
hsa_circ_0004104,Gastric cancer,unknown
hsa_circ_0001546/hsa_circ_000423,Bladder cancer,unknown
hsa_circ_0001546/hsa_circ_000423,Gastric cancer,unknown
hsa-circRNA6510-1,Type2 diabetes mellitus,unknown
hsa_circ_0003506,Gastric cancer,unknown
hsa_circ_0074806,Colorectal cancer,unknown
chr5:158368701-158368987,Bladder cancer,unknown
hsa_circ_0074854,Colorectal cancer,unknown
hsa_circ_0074854,Hepatocellular carcinoma,unknown
hsa_circ_0074854,Myocardial infarction,unknown
hsa_circ_0128533,Uveal melanoma,"hsa-miR-145-3p, hsa-miR-23a-5p, hsa-miR-23b-5p"
hsa_circ_0001550,Colorectal cancer,unknown
hsa_circ_0074930,Colorectal cancer,unknown
hsa_circ_0001554,Oral mucosal melanoma,unknown
hsa_circ_0074990,Gastric cancer,unknown
chr5:170610175-170632616,Ovarian cancer,unknown
hsa_circ_0075001/circNPM1,Acute myeloid leukemia,"miR-765, miR-495-3p, miR-665, miR-193b-5p, miR-124-5p"
hsa_circ_0075005,Parathyroid carcinoma,unknown
hsa_circ_0008042,Oral mucosal melanoma,unknown
hsa_circ_0007611,Preeclampsia,unknown
hsa_circ_0001561,Gastric cancer,unknown
hsa_circ_000425,Colorectal cancer,unknown
hsa_circ_0001564/hsa_circ_001742,Osteosarcoma,unknown
hsa_circ_0075341,Cervical cancer,unknown
hsa_circ_0001566/hsa_circ_001168,Glioblastoma,unknown
hsa_circ_0075370,Congenital heart disease,unknown
circ_DROSHA,Temporal Lobe Epilepsy,unknown
hsa_circ_0072083,Non-small cell lung cancer,unknown
hsa_circ_103809,Hepatocellular carcinoma,unknown
hsa_circ_0072088,Esophageal cancer,unknown
hsa_circ_10072088,Bladder cancer,unknown
hsa_circ_10072088,Breast cancer,unknown
hsa_circ_10072088,Colorectal cancer,"miR-455-3p, let-7g-5p, miR-876-3p, miR-661, miR-323a-5p"
hsa_circ_10072088,Gastric cancer,"miR-876-5p, miR-192-3p, miR-34b-3p, miR-34c-3p, miR-181b-3p"
hsa_circ_10072088,Liver cancer,unknown
hsa_circ_10072088,Lung cancer,unknown
hsa_circ_10072088,Papillary thyroid carcinoma,unknown
chr5:32640331-32664400,Intestinal injury and repair,unknown
hsa_circ_0072215,Esophageal cancer,unknown
hsa_circ_0072304,Breast cancer,unknown
hsa_circ_0072309,Breast cancer,miR-492
hsa_circ_0072309,Gastric cancer,unknown
hsa_circ_0072309,Intracranial aneurysm,"hsa-miR-519e-5p, hsa-miR-516b-5p"
hsa_circ_0072309,Liver cancer,unknown
