circRNA,disease
hsa_circ_0090049,Hepatocellular carcinoma
hsa_circ_0000519,Multiple sclerosis
hsa_circ_0005320,Oral mucosal melanoma
hsa_circ_0008259,Gastric cancer
hsa_circ_0048856,Non-small cell lung cancer
circ_ITCH,Ovarian cancer
circFAM169A,bladder carcinoma
circRNA-0067835,Temporal lobe epilepsy
hsa_circ_0001387,Ovarian cancer
circ_0000285,Thyroid cancer
hsa_circ_0001615,Colon cancer
chr12:94613792|94621011,Acute ischemic stroke
hsa_circRNA8507,Esophageal cancer
hsa_circ_0133622,Neuroblastoma
hsa_circ_0000615,Coronary artery disease
hsa_circ_0001875,Breast cancer
circRNF13,Acute myeloid leukemia
CDR1as,Hepatocellular carcinoma
hsa_circ_0000260,Gastric cancer
hsa_circ_0025580,Lung cancer
hsa_circ_0000414/hsa_circ_001951,Pulmonary tuberculosis
circLARP4,Gastric cancer
circHIPK3,Diabetic nephropathy
hsa_circ_0000069,colorectal cancer
hsa_circRNA_104075,Hepatocellular carcinoma
circRNA_101505,Hepatocellular carcinoma
hsa_circ_104700,colorectal cancer
hsa_circ_0043533,Polycystic ovary syndrome
hsa_circ_0000615,Glioblastoma
hsa_circ_0002577,Endometrial carcinoma
hsa_circ_0091894,Papillary thyroid carcinoma
circMAN1A2,Thyroid cancer
circ_LPAR3,Esophageal squamous cell carcinoma
hsa_circ_0000515,Cervical cancer
circHIPK3,Hepatocellular carcinoma
CDR1as/ciRS-7/hsa_circ_0001946,Cervical cancer
hsa_circ_001730,Pterygium
hsa_circ_0026143,Ovarian endometriosis
circ-ZNF609,Nasopharyngeal carcinoma
circSDHC,Renal cell carcinoma
hsa_circ_0041795,Diabetic retinopathy
hsa_circ_0092509,Osteosarcoma
hsa_circ_0057041,Oral mucosal melanoma
circRNA167,Esophageal cancer
circRAD23B,Esophageal cancer
hsa_circ_0003221,Bladder cancer
hsa_circ_0001449,Cerebral ischemia
cZNF292,Glioblastoma
hsa_circ_0008507,Coronary heart disease
circRNA_001937,Cutaneous squamous cell carcinoma
hsa_circ_0038632,Triple negative breast cancer
hsa_circ_0060927,Colorectal cancer
hsa_circ_0001165,Prostate cancer
circ_0115744,Colorectal cancer
hsa_circ_0008225,Glioma
hsa_circ_0009361,Colorectal cancer
hsa_circ_103783,Leukoaraiosis
hsa_circ_0062426,Atrial fibrillation
hsa_circ_0006404,Breast cancer
hsa_circ_0060450,Type 1 diabetes mellitus
hsa_circ_0008844,Cervical cancer
hsa_circ_0002755,Glioblastoma
hsa_circ_0068871,Bladder cancer
hsa_circ_0057558,Prostate cancer
hsa_circRNA_104270,Thyroid cancer
hsa_circ_0000074,Pulmonary tuberculosis
hsa_circ_0001667,Breast cancer
hsa_circ_000121,Cervical cancer
hsa_circ_0130810,Gastric cancer
hsa_circ_0015729,Proliferative vitreoretinopathy
hsa_circ_0014359,Glioblastoma
hsa_circ_0001598/hsa_circ_001437,Breast cancer
hsa_circ_0132813,Neuroblastoma
hsa_circ_0001546/hsa_circ_000423,Bladder cancer
hsa_circRNA_101975,Osteoarthritis
circ_0072088,Colorectal cancer
hsa_circ_0000520/hsa_circ_001846,Gastric cancer
hsa_circ_0045602,Gastric cancer
hsa_circ_0001859/hsa_circ_001783,Rheumatoid arthritis
hsa_circ_0006988,Pancreatic cancer
circ_0006404,Acute myeloid leukemia
circCER,Breast cancer
hsa_circ_0101113,Acute myeloid leukemia
hsa_circ_0067934,Neuronal cell injury
hsa_circ_0055377,Thoracic aortic dissection
hsa_circ_0000522,Colorectal cancer
hsa_circ_0091579,Hepatocellular carcinoma
hsa_circRNA_103110,Osteosarcoma
hsa_circ_0008928,Non-small cell lung cancer
hsa_circ_0085154,Hepatocellular carcinoma
hsa_circ_0008285,Breast cancer
hsa_circ_0000479,Systemic lupus erythematosus
circ_0003645,Hepatocellular carcinoma
hsa_circ_0003258,Pneumonia
hsa_circ_0074854,Hepatocellular carcinoma
hsa_circ_0005703,Hypopharyngeal carcinoma
hsa_circ_0000615,Renal cell carcinoma
hsa_circ_100290,oral squamous cell carcinomas
hsa_circRNA_103781,Gastric cancer
hsa_circ_0085616,Hepatocellular carcinoma
circMMP9,Osteosarcoma
hsa_circ_0064923,Breast cancer
hsa_circ_104769,Hepatocellular carcinoma
hsa_circ_0080975,Osteosarcoma
circHIPK3,Prostate cancer
hsa_circ_0004777,Lung cancer
hsa_circ_0037655,Glioblastoma
circ_0005774,Acute myeloid leukemia
ciRS-7,gastric cancer
hsa_circ_0004018,hepatocellular carcinoma
hsa_circ_0000981,breast cancer
hsa_circ_0002203,Oral squamous cell carcinoma
hsa_circ_0017545,Breast cancer
hsa_circ_0058357,Non-small cell lung cancer
hsa_circ_0007255,Bladder cancer
hsa_circ_0101868,Acute myeloid leukemia
hsa_circ_0002980,Hepatocellular carcinoma
circ_0058124,Papillary thyroid carcinoma
hsa_circ_101877,esophageal cancer
hsa_circ_0100891,Acute myeloid leukemia
hsa_circ_0016901,Breast cancer
hsa_circ_0068655,Myocardial infarction
hsa_circ_0007255,Triple negative breast cancer
hsa_circ_0066755,Nasopharyngeal carcinoma
hsa_circ_014213,Papillary thyroid carcinoma
circBA9.3,Chronic myeloid leukemia
circ-Amotl1,breast cancer
hsa_circ_0101692,Pancreatic cancer
circ_0000034,Retinoblastoma
circRNA_4675,Preeclampsia
circNR3C1,Bladder cancer
hsa_circ_0000231,Tongue squamous cell carcinoma
hsa_circ_0008887,Immunosenescence
hsa_circ_0090002,Acute ischemic stroke
circANKRD36,Osteoarthritis
circRNA_100395,Gastric cancer
circSEC24A,Osteoarthritis
hsa_circ_0006127,Gastric cancer
hsa_circ_000695,esophageal cancer
hsa_circRNA_100258,Osteosarcoma
hsa_circ_0026372,Diabetes retinopathy
hsa_circ_0068515,Hepatocellular carcinoma
hsa_circ_00026,Hypopharyngeal carcinoma
hsa_circ_0007777,Hashimoto's thyroiditis
hsa_circ_0001062,Oral mucosal melanoma
hsa_circ_0001946,Coronary heart disease
hsa_circ_0032148,Uveal melanoma
hsa_circ_0079480,Colon cancer
hsa_circ_0001312,Heart failure
hsa_circ_0000096,gastric cancer
hsa_circ_0063179,Pulmonary tuberculosis
circ_0005273,Acute myeloid leukemia
hsa_circ_0072309,Gastric cancer
hsa_circ_0013339,Colorectal cancer
hsa_circ_0012380,Breast cancer
CDR1as,Periodontitis
hsa_circ_0051239,Papillary thyroid microcarcinoma
hsa_circRNA_103387,Osteoarthritis
hsa_circ_0000005,Glioblastoma
hsa_circRNA_000843,Alzheimer's disease
hsa_circ_105038,papillary thyroid carcinoma
hsa_circ_000792,Cervical cancer
hsa_circ_0009910,Acute myeloid leukemia
circMAN1A2,Lung cancer
Circ‑TOP2A,Glioma
circRNA_000864,Pancreatic cancer
hsa_circ_0084353,Colorectal cancer
circGFRA1,triple negative breast cancer
hsa_circ_00523,Non-small cell lung cancer
hsa_circ_0003575,Atherosclerosis
hsa_circ_0003506,Gastric cancer
hsa_circ_003251,depression
hsa_circ_0021789,Glioblastoma
hsa_circ_0000977,Pancreatic cancer
hsa_circ_0007928,Cervical cancer
hsa_circ_0064428,Hepatocellular carcinoma
hsa_circ_0125597,Breast cancer
hsa_circRNA_20118,Rheumatic heart disease
hsa_circ_0000284,Osteoarthritis
hsa_circ_0067835,Temporal lobe epilepsy
circ_0000218,Laryngeal cancer
circ_0058124,Thyroid cancer
CircWHSC1 ,Hepatocellular carcinoma
hsa_circ_0069399,Cervical cancer
hsa_circ_003785,Premature ovarian insufficiency
hsa_circRNA8505,Esophageal cancer
hsa_circ_0043603,Esophageal cancer
hsa_circ_0026134,Non-small cell lung cancer
hsa_circ_0000284,Gallbladder cancer
hsa_circ_0002343,Cervical cancer
hsa_circ_0035445,Colorectal cancer
hsa_circ_0009143,Cervical cancer
hsa_circ_0072567,Colorectal cancer
circRNANCOA3,PDLSC osteogenis
circRNA7674,Esophageal cancer
hsa_circ_0007294,Triple negative breast cancer
circ_C9,Chronic hepatitis B
hsa_circ_405198,triple negative breast cancer
hsa_circRNA_100284,Carcinogenesis
hsa_circ_0003906,Colorectal cancer
hsa_circ_0072387/hsa_circRNA_103829,Basal cell carcinoma
circ_0000218,Colorectal cancer
circ_0007059,Postmenopausal osteoporosis
hsa_circ_0006835,Gastric cancer
hsa_circ_0005085/hsa_circRNA_102612,Basal cell carcinoma
circ_0008305,Intervertebral disc degeneration
hsa_circ_0000172,Bladder cancer
hsa_circ_0001721,Breast cancer
hsa_circ_0000284,Prostate adenocarcinoma
hsa_circ_0004221,Lung cancer
hsa_circ_0003570,Infantile hemangioma
hsa_circ_0058058,Acute myeloid leukemia
circPVT1,gastric cancer
hsa_circ_0032832,Esophageal cancer
circUBAP2,Lung cancer
circ_0004136,Multiple myeloma
CDR1as,Atherosclerosis
hsa_circ_0002485,Osteoarthritis
circRTN4,Colon cancer
hsa_circ_0000977,Colorectal cancer
hsa_circ_0000285,Osteosarcoma
circ_0006404,Bladder cancer
hsa_circ_0009061,Prostate cancer
hsa_circ_0003192,Oral mucosal melanoma
hsa_circ_0075686,Glioblastoma
hsa_circ_0034912,Cervical cancer
circHIPK3,Ovarian endometriosis
circMAN2B2,Gastric carcinoma
hsa_circ_0005882,Pancreatic cancer
hsa_circ_0000284,Cholangiocarcinoma
circ_0034642,Glioblastoma
hsa_circ_0007930,Age-related cataract
hsa_circ_0000284,Breast cancer
circ_USP9Y,Temporal Lobe Epilepsy
hsa_circ_0005630,Ovarian cancer
hsa_circ_0075005,Parathyroid carcinoma
circ_0001742,Glioma
hsa_circ_0087207,Uterine leiomyoma
circ_VPS37C,Temporal Lobe Epilepsy
hsa_circ_0006229,Colorectal cancer
CDR1as/ciRS-7/hsa_circ_0001946,Alzheimers disease
hsa_circ_0001247,Cervical cancer
hsa_circ_0138896,Breast cancer
hsa_circ_0009910,Ovarian cancer
hsa_circ_0001189,Hypopharyngeal squamous cell carcinoma
hsa_circ_0058246,gastric cancer
circOLA,Breast cancer
hsa_circ_0000284/circHIPK3,Ovarian cancer
hsa_circ_0017545,Parathyroid carcinoma
hsa_circ_0034472,Pterygium
chr19:42562552-42564341,Intestinal injury and repair
hsa_circ_0030998,Lung cancer
hsa_circ_0002874,Bladder cancer
hsa_circ_0003171,Primary great saphenous vein varicosities
2_72718102_72733118_-,Hypertrophic scar
hsa_circ_403658,Bladder cancer
circ_ITCH,Colorectal cancer
ciRS-7,Esophageal cancer
hsa_circ_0001649,Gastric carcinoma
hsa_circ_0044516,Prostate cancer
circ-Rtn4,Osteoporosis
hsa_circ_0044556,Colorectal cancer
circGLIS3,Lung cancer
hsa_circ_0001561,Gastric cancer
circHIPK3,Gastric cancer
hsa_circ_0061893,liver cancer
hsa_circ_0022935,Colon cancer
hsa_circ_0082374,Non-small cell lung cancer
hsa_circ_0020376,Uterine leiomyoma
NFATC3,Epithelial ovarian cancer
hsa_circ_0060055,Pancreatic cancer
circRUNX1,Colorectal cancer
circRNA_10156,Liver cancer
hsa_circ_0043256,Non-small cell lung cancer
hsa_circ_0054659,Intervertebral disc degeneration
hsa_circ_0032253,Alzheimer's disease
hsa_circRNA_10156,Liver cancer
hsa_circ_0000376,Gastric cancer
hsa_circRNA_000466,Papillary thyroid microcarcinoma
hsa_circ_0127245,Hepatocellular carcinoma
Circ-CSPP1,Hepatocellular carcinoma
hsa_circ_0000673,Cholangiocarcinoma
cZNF609,Hepatocellular carcinoma
hsa_circ_0000615,vascular endothelial dysfunction
hsa_circ_0007385,Non-small cell lung cancer
hsa_circ_0084443,Diabetic foot ulcer
circ_0017247,Bladder cancer
hsa_circ_0076631,Diabetic cardiomyopathy
hsa_circ_0020007,Hepatocellular carcinoma
circ_0005273,Bladder cancer
hsa_circRNA_100876,Gastric cancer
ciRS-7,Cholangiocarcinoma
hsa_circ_0009128,active pulmonary tuberculosis
hsa_circ_0006528,Breast cancer
hsa_circ_0008450,Liver cancer
hsa_circ_103307,papillary thyroid carcinoma
hsa_circ_0106800,Cervical cancer
circ_0020710,Melanoma
ciRS-7,Breast cancer
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Gastric cancer
circ-OGDH,Esophageal squamous cell carcinoma
cir-ITCH,Glioma
circ_0008305,Hepatocellular carcinoma
hsa_circ_0041796,Diabetes retinopathy
hsa_circ_0007535,Idiopathic pulmonary fibrosis
chr5:64096979-64108263,Intestinal injury and repair
CircPUM1,Clear cell renal cell carcinoma
hsa_circ_0001953,Tuberculosis
hsa_circ_0000284/circHIPK3,Bladder cancer
hsa_circ_0043898,Esophageal cancer
hsa_circ_0077837,Bladder cancer
circRNA.22054,Gestational diabetes mellitus
hsa_circ_0008285,Mantle cell lymphoma
circ-PRMT5,Gastric cancer
hsa_circ_0006427,Lung cancer
hsa_circ_0024002,Chronic myeloid leukemia
hsa_circ_0138960,Gastric cancer
hsa_circ_0023858,Idiopathic pulmonary fibrosis
hsa_circ_0061656,Pressure ulcer
circRNA3046,Herpes Simplex Virus1 Infection
hsa_circ_0086376,Acne
hsa_circ_0017252,Clear cell renal cell carcinoma
hsa_circ_0002360,Colorectal cancer
hsa_circ_0000267,Gastric cancer
hsa_circ_0002142,Glioma
circ102049,Colorectal cancer
hsa_circ_001654/hsa_circRNA_001654,Infantile hemangioma
hsa_circ_0042666,Laryngeal squamous cell carcinoma
hsa_circ_0081519,Glioblastoma
hsa_circ_0000839,Hepatocellular carcinoma
hsa_circ_102296,Tuberculosis
hsa_circ_100918,depression
circ_0026344,Colorectal cancer
hsa_circ_00523,Triple negative breast cancer
chr18:107887-108499,Glioblastoma
chr5:134491893-134500149,Intestinal injury and repair
circMYLK,Hepatocellular carcinoma
hsa_circ_0137606,Bladder cancer
hsa_circ_10072088,Lung cancer
cir-ITCH,Bladder cancer
circRNA.20159,Gestational diabetes mellitus
hsa_circ_003251,T2DM with depression
hsa_circ_0001577,Bladder cancer
circ-SHKBP1,Glioma
hsa_circ_0032603,Parathyroid adenoma
hsa_circ_0045714,osteoarthritis
hsa_circ_0008717,Non-small cell lung cancer
hsa_circ_0013509,Cardiovascular disease
hsa_circ_0008365,Osteoarthritis
hsa_circ_006371,Oral squamous cell carcinoma
hsa_circ_0041124,Papillary thyroid carcinoma
circ-PRKCA,Non-small cell lung cancer
hsa_circ_0005158,Heart failure
circ_ANKMY2,Epilepsy
hsa_circ_0033155,Non-small cell lung cancer
hsa_circ_100290,Oral squamous cell carcinoma
chr20:31876585–31897648,Laryngeal cancer
circPTK2,bladder carcinoma
circ_0015756,Hepatoblastoma
hsa_circ_0006539,Bladder cancer
hsa_circ_0000798,Hepatocellular carcinoma
hsa_circ_0001001,Hepatocellular carcinoma
hsa_circ_0003266,Acute kidney injury
hsa_circ_0005571,Intracranial aneurysm
circST6GALNAC6,Bladder cancer
hsa_circRNA_100084,Hepatocellular carcinoma
hsa_circ_0054652,Intervertebral disc degeneration
circLPAR3,Esophageal squamous cell carcinoma
hsa_circ_0101692,Clear cell renal cell carcinoma
hsa_circ_0000677,Osteosarcoma
hsa_circ_0002260,Hypopharyngeal carcinoma
hsa_circ_0074026,Glioblastoma
has_circ 2149,Nervous inflammatory diseases or immune disorders
hsa_circ_0002024,Bladder cancer
hsa_circ_0077736,Gastric cancer
hsa_circ_0015278,Lung cancer
hsa_circ_0082374,Glioma
hsa_circ_015115,diabetes mellitus
hsa_circ_014724,Hepatic steatosis
circ-QKI,Duchenne muscular dystrophy
hsa_circ_0000826,Colorectal cancer
circDLGAP4,Ischemic stroke
hsa_circ_0001649/circSHPRH/hsa_circ_001599,Retinoblastoma
hsa_circ_0022812,Lung cancer
circLMTK2,Prostate cancer
hsa_circ_0007294,Colorectal cancer
hsa_circ_0074033,Colorectal cancer
hsa_circ_0068458,Osteosarcoma
hsa_circ_101755,Glioblastoma
circZNF566,Hepatocellular carcinoma
circ-ITCH,Gastric cancer
circ_CELSR1,Ovarian cancer
hsa_circ_0030507,Oral mucosal melanoma
hsa_circ_0004872,Gastric cancer
CircCDH13,Osteoarthritis
hsa_circ_0000511,Breast cancer
cDENND4C,Colorectal cancer
hsa_circ_0001801,Glioblastoma
hsa_circ_0057799 ,Endometriosis
hsa_circ_026195,Lung squamous cell carcinoma
hsa_circ_0005015,Diabetes retinopathy
hsa_circ_006100,Gastric cancer
hsa_circ_0006404,Senescence
hsa_circ_0007059,Lung cancer
hsa_circ_0067835,Colorectal cancer
hsa_circRNA_104001,Repeated implantation failure
hsa_circ_0078768,Active pulmonary tuberculosis
cir-ITCH,Esophageal squamous cell carcinoma
circHIPK3,Kidney cancer
hsa_circ_0104345,Breast cancer
hsa_circ_0044516,Gastric cancer
circ_0072083,Non-small cell lung cancer
hsa_circ_0021087,Gastric cancer
circ-ABCB10,Non-small cell lung cancer
hsa_circ_0023404,Non-small cell lung cancer
hsa_circ_0120816,Esophageal cancer
hsa_circ_0007874,Gallbladder cancer
hsa_circ_0000211,Lung cancer
circBRIP,Breast cancer
hsa_circ_0009065,Pancreatic ductal adenocarcinoma
circCSPP1,Colorectal cancer
Circ-OSBPL2,Chronic obstructive pulmonary disease
hsa_circ_100269,stage III gastric cancer
hsa_circ_0030777,Alzheimer's disease
hsa_circ_0082582,Bladder cancer
hsa_circRNA_405324,Moyamoya disease
hsa_circ_0008792,Oral squamous cell carcinoma
hsa_circ_0100929,Hepatocellular carcinoma
hsa_circ_0001461,Gastric cancer
circSCAF11,Glioma
circNOLC1,Prostate cancer
hsa_circ_0000408,Lung cancer
hsa_circ_0030569,Tuberculosis
hsa_circ_0000326,Cervical cancer
hsa_circ_101914,osteoarthritis
hsa_circRNA_100291,Hepatocellular carcinoma
hsa_circ_0101432,Hepatocellular carcinoma
hsa_circ_100565,Lung cancer
circRNA_036186,Head and neck squamous cell carcinoma
hsa_circ_0051172,Coronary artery disease
hsa_circRNA_101618,Alzheimer's disease
hsa_circ_0000284/circHIPK3,Asthma
hsa_circ_0001190,Gastric cancer
hsa_circ_10072088,Breast cancer
CDR1as/ciRS-7/hsa_circ_0001946,Hepatocellular carcinoma
hsa_circ_001587,Pancreatic cancer
circ_0067934,Thyroid carcinoma
hsa_circ_0005986,hepatocellular carcinoma
hsa_circ_0002018,Breast cancer
circSMARCA5,Non-small cell lung cancer
hsa_circ_0005552,Bladder cancer
hsa_circRNA_1837,Atrial fibrillation
hsa_circ_0008460,Colorectal cancer
hsa_circ_0075341,Cervical cancer
hsa_circ_0007874,Breast cancer
hsa_circ_020135,Papillary thyroid carcinoma
hsa_circ_0100338,Hepatocellular carcinoma
hsa_circ_101996,Cervical cancer
hsa_circ_0081566,Uterine leiomyoma
hsa_circ_0001946,Non-small cell lung cancer
hsa_circ_0000520,Gastric cancer
circRNA PPP1CC,Atherosclerosis
hsa_circ_0002142,Glioblastoma
circ_0006404,Osteosarcoma
hsa_circ_0001846,Triple negative breast cancer
hsa_circ_0069565,Age-related cataract
Hsa_circ_0046263,Non-small cell lung cancer
hsa_circ_0002271,Thoracic aortic dissection
hsa_circ_0052012,Rheumatoid arthritis
Circ-SMARCA5,Colorectal cancer
hsa_circ_0000284,Immunosenescence
hsa_circ_0004913,Hepatocellular carcinoma
circ_0000326,Lung adenocarcinoma
hsa_circ_0058106,hypopharyngeal squamous cell carcinoma
circTRAF3,Nasopharyngeal carcinoma
hsa_circ_0002082,Hepatocellular carcinoma
hsa_circ_0082002,Hepatocellular carcinoma
hsa_circ_0092233,Proliferative vitreoretinopathy
hsa_circ_0007374,Colorectal cancer
hsa_circ_0061893,Radiation-induced liver fibrosis
hsa_circ_0008133,Non-small cell lung cancer
cTTN1,Heart failure
hsa_circ_0004771,Gastric cancer
hsa_circ_404457,diabetic retinopathy
17_50189858_50195330_-,Hypertrophic scar
hsa_circ_0006867,Non-small cell lung cancer
circRNA-0006896,Atherosclerosis
hsa_circ_0040081,Hepatoblastoma
hsa_circ_0074854,Myocardial infarction
hsa_circ_0004370,Gastric cancer
hsa_circ_0010729,Angiogenesis
hsa_circ_0054657,Intervertebral disc degeneration
hsa_circ_0001178,Hepatocellular carcinoma
hsa_circ_0000893/hsa_circ_000261,Breast cancer
hsa_circRNA_074595,Breast cancer
hsa_circ_0000700,Esophageal squamous cell carcinoma
hsa_circ_0000284/circHIPK3,Colorectal cancer
hsa_circ_0000375,Glioblastoma
hsa_circ_0066077,Hepatoblastoma
circPITX1,Glioblastoma
hsa_circ_0048607,Gastric cancer
hsa_circ_0003645,Breast cancer
hsa_circ_0087391,Colon cancer
circRNA7536,Esophageal cancer
hsa_circ_0059354,Laryngeal cancer
circ-FOXM1,Melanoma
hsa_circRNA_101413,Systemic lupus erythematosus
hsa_circ_0082688,Systemic lupus erythematosus
circRNA-101368,Hepatocellular carcinoma
hsa_circ_0009362,Triple negative breast cancer
hsa_circ_0089310,Major depressive disorder
CDR1as,Celebral development
hsa_circ_0005962,Lung adenocarcinoma
hsa_circ_0000707,Chronic lymphocytic leukemia
circRNA_004662,Crohn disease
hsa_circ_0088452,Active pulmonary tuberculosis
circ_0008274,Lung cancer
hsa_circ_0000737,Hepatocellular carcinoma
hsa_circ_0007534,Colorectal cancer
Circ-AASDH,Lung adenocarcinoma
circ-ABCB10,Glioma
circ_0067934,Lung cancer
circ_0008193,Lung adenocarcinoma
hsa_circ_0004442,Renal cell carcinoma
hsa_circ_0007915,Liver cancer
hsa_circ_0067531,Hepatocellular carcinoma
hsa_circ_0043265,Non-small cell lung cancer
hsa_circ_0014235,Lung cancer
hsa_circ_0008234,Lung cancer
circNEK9,Gastric cancer
hsa_circ_100782,pre-eclampsia
hsa_circ_0000392,Colorectal cancer
CircTP53,Thyroid cancer
hsa_circ_0113854,coronary artery disease
circRNA_0005075,Gastric cancer
hsa_circ_0000615,Rhabdomyosarcoma
circHIPK3,Retinal vascular dysfunction
hsa_circ_0010729,angiogenesis
hsa_circ_0009910,Osteosarcoma
hsa_circ_0049116,Epithelial ovarian cancer
hsa_circRNA_102488,Stroke
hsa_circ_0134111,Osteoarthritis
hsa_circ_101481,Glioblastoma
hsa_circ_0012919,Systemic lupus erythematosus
hsa_circ_0000284/circHIPK3,Osteosarcoma
hsa_circ_0032821,Gastric cancer
hsa_circ_0092246,Proliferative vitreoretinopathy
circ_0000467,Gastric cancer
hsa_circ_0030018,Esophageal carcinoma
circ_0074027,Non-small cell lung cancer
hsa_circ_0061265,Gastric cancer
hsa_circ_0057104,gastric cancer
hsa_circRNA_102296,Tuberculosis
hsa_circ_0005909,Osteosarcoma
circ_DENND4C,Hepatocellular carcinoma
circNINL,Breast cancer
hsa_circ_0001313/circCCDC66/hsa_circ_000374,Gastric cancer
hsa_circ_0068033,Breast cancer
circMTO1,Bladder cancer
hsa_circ_0076979,Prostate cancer
circ_0004136,Acute myeloid leukemia
circRNA_001287,Renal cell carcinoma
circ_0091579,Liver cancer
hsa_circ_0036722,hypopharyngeal squamous cell carcinoma
circ‑ABCB10,Epithelial ovarian cancer
hsa_circ_0005556,Gastric cancer
hsa_circ_0000594,Glioblastoma
hsa_circ_104566,papillary thyroid carcinoma
circNSUN2,Colorectal cancer
hsa_circ_0074806,Colorectal cancer
hsa_circ_0008532,Bladder cancer
hsa_circ_0001839,Breast cancer
hsa_circ_0000512,Colorectal cancer
hsa_circRNA_002082,Hepatic steatosis
hsa_circ_0000658,Osteosarcoma
hsa_circ_0006411,Lung cancer
hsa_circ_0071896,Facet joint osteoarthritis
cir-ITCH,Osteosarcoma
circ_0007142,Colorectal cancer
hsa_circ_0075825,Basal cell carcinoma
hsa_circ_0006404,Acute myeloid leukemia
ciRS-7,Atherosclerosis
circ_0000337,Osteosarcoma
hsa_circ_0080210,Intervertebral disc degeneration
hsa_circ_103110,breast cancer
hsa_circ_0007144,Hepatocellular carcinoma
hsa_circ_100395,papillary thyroid carcinoma
hsa_circ_0000026,gastric cancer
hsa_circ_0086414,Lung cancer
circAmotl1/hsa_circ_0004214,Glioblastoma
CDR1as/ciRS-7/hsa_circ_0001946,Periodontitis
hsa_circ_101178,osteoarthritis
CDR1as,Heart failure
hsa_circ_0071410,liver cancer
hsa_circ_0061817,Non-obstructive azoospermia
hsa_circ_0000825,Prostate cancer
circHIPK2,neuroinflammatory disorders
hsa_circ_0027345,Hepatocellular carcinoma
hsa_circ_400064,papillary thyroid carcinoma
hsa_circ_0041731,Hepatoblastoma
hsa_circ_0001785,Breast cancer
hsa_circRNA_102556,Lung cancer
Circ_0119872,Uveal melanoma
circ-0033550,Cervical cancer
hsa_circ_0001946,Bladder cancer
hsa_circ_0001836,Glioblastoma
circTRIM33-12,Hepatocellular carcinoma
circ-ITCH,Ovarian cancer
circ-NCOR2,Papillary thyroid carcinoma
circPRRC2A,Renal cell carcinoma
hsa_circ_0098964,Coronary artery disease
circPRKCB,Ischemia reperfusion injury
circ_0007534,Breast cancer
hsa_circ_0006460,Glioblastoma
circ_0067934,Esophageal cancer
hsa_circ_0003439,Lung cancer
circ_SMAD7,Esophageal cancer
hsa_circ_0001946,Triple negative breast cancer
hsa_circ_0000199,Glioblastoma
hsa_circ_0035560,multiple sclerosis
hsa_circ_101356,papillary thyroid carcinoma
circSETDB1,Lung adenocarcinoma
hsa_circ_0029633,Idiopathic pulmonary fibrosis
hsa_circ_0002130,Non-small cell lung cancer
hsa_circ_0077765,Multiple myeloma
hsa_circ_000167,Pancreatic cancer
hsa_circ_0018004,Stomach adenocarcinoma
hsa_circ_0001240,Atrial fibrillation
hsa_circ_0000650,Chronic hepatitis B
hsa_circ_0000745,Gastric cancer
circ_0000043,Endometrial carcinoma
circ_SETD2,Breast cancer
hsa_circRNA_102958,Colorectal cancer
circ_0067934,Breast cancer
CDR1as/ciRS-7/hsa_circ_0001946,Atherosclerosis
hsa_circ_0068489,Diabetes retinopathy
hsa_circ_0004771,Esophageal squamous cell carcinoma
hsa_circ_0043144,Proliferative vitreoretinopathy
hsa_circ_0005795/hsa_circRNA_100823,Basal cell carcinoma
circVAPA,Gastric cancer
hsa_circ_0032683,Rheumatoid arthritis
hsa_circ_0005692,Hepatocellular carcinoma
hsa_circ_0005870,Hypertension
hsa_circ_0001522,Lung cancer
hsa_circ_0000337,Osteosarcoma
circMED13,Breast cancer
hsa_circ_0087378,Esophageal cancer
circRNASMURF2,PDLSC osteogenis
circCDYL,Colon cancer
circ_EPB41L2,Lung adenocarcinoma
hsa_circ_0074027,Non-small cell lung cancer
hsa_circ_0000732,Breast cancer
hsa_circ_0102049,Osteosarcoma
hsa_circ_0079929,Thoracic aortic dissection
hsa_circ_0014130,Glioblastoma
hsa_circ_0026231,Esophageal squamous cell carcinoma
hsa_circ_0030605,Bronchopulmonary dysplasia
hsa_circ_000334,Esophageal cancer
circ_ITCH,Cervical cancer
Circ0083429,Osteoarthritis
hsa_circ_0040060,Intervertebral disk degeneration
hsa_circ_103973,Cervical cancer
hsa_circ_0030018,Glioblastoma
hsa_circ_0092303,Gastric cancer
hsa_circ_0000190,gastric cancer
hsa_circ_0093677,Steroid-induced osteonecrosis of the femoral head
circ7780,Colorectal cancer
circ-PGAP3,Cervical cancer
circ_0014717,Hepatocellular carcinoma
hsa_circ_0007142,Intracranial aneurysm
hsa_circ_0000094,T cell acute lymphoblastic leukemia
hsa_circ_0093390,Clear cell renal cell carcinoma
circRNA_100876,Gastric cancer
circHIPK3,Cardiac hypertrophy
hsa_circ_0072758,Laryngeal cancer
hsa_circ_0004458,Papillary thyroid carcinoma
circARID1A,Autism spectrum disorder
hsa_circ_0003528,Hepatocellular carcinoma
hsa_circ_0087378,Breast cancer
circRNA-MTO1,Breast cancer
hsa_circ_000780,Tongue squamous cell carcinoma
hsa_circ_0032627,Gastric cancer
hsa_circ_0000284/circHIPK3,Clear cell renal cell carcinoma
hsa_circ_0000096,Clear cell renal cellcarcinoma
circFAT1,Non-small cell lung cancer
hsa_circ_0092857,Lung cancer
